Incident Date,year,month,state,Total Number of Dead and Missing,Cause of Death,average_temp,Migration Route,geometry
2014-10-15,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.184983 32.7641)
2014-10-19,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.5388 32.854167)
2014-10-21,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-111.37118 32.21341)
2014-10-24,2014.0,10,ARIZONA,1,Violence,69.6,US-Mexico border crossing,POINT (-111.140983 32.100767)
2014-10-28,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-113.03201 32.49773)
2014-10-29,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.7889 31.890617)
2014-10-29,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.736483 32.652667)
2014-10-30,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-111.63283 31.75902)
2014-11-06,2014.0,11,,1,Mixed or unknown,,US-Mexico border crossing,POINT (-112.937883 31.916783)
2014-11-10,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-111.02039 31.76492)
2014-11-12,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-111.76598 31.75662)
2014-11-16,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-110.973083 31.530333)
2014-11-26,2014.0,11,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",58.3,US-Mexico border crossing,POINT (-109.379947 32.303726)
2014-11-27,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-111.095583 31.585083)
2014-11-27,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-113.111221 32.223531)
2014-11-27,2014.0,11,ARIZONA,1,Mixed or unknown,58.3,US-Mexico border crossing,POINT (-111.834361 31.672801)
2014-12-03,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-112.750001 31.983401)
2014-12-06,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-112.20065 31.789117)
2014-12-09,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-112.67935 32.436583)
2014-12-13,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-113.040883 32.046333)
2014-12-28,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-112.6999 32.0405)
2014-12-28,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-111.84954 31.62241)
2014-12-31,2014.0,12,ARIZONA,1,Mixed or unknown,48.0,US-Mexico border crossing,POINT (-112.590416 32.22804)
2014-01-02,2014.0,1,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",44.6,US-Mexico border crossing,POINT (-98.2662 26.8342)
2014-01-04,2014.0,1,TEXAS,1,Mixed or unknown,44.6,US-Mexico border crossing,POINT (-98.1868 27.2169)
2014-01-06,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.641 31.6595)
2014-01-08,2014.0,1,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",44.6,US-Mexico border crossing,POINT (-97.4485 25.875)
2014-01-09,2014.0,1,TEXAS,1,Mixed or unknown,44.6,US-Mexico border crossing,POINT (-98.9322 27.8525)
2014-01-12,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.7345 31.5966)
2014-01-21,2014.0,1,TEXAS,1,Mixed or unknown,44.6,US-Mexico border crossing,POINT (-98.2945 27.0395)
2014-01-24,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-112.1746 32.174)
2014-01-24,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-113.0294 32.4029)
2014-01-29,2014.0,1,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",44.6,US-Mexico border crossing,POINT (-98.3095 27.2444)
2014-01-29,2014.0,1,TEXAS,1,Mixed or unknown,44.6,US-Mexico border crossing,POINT (-98.3493 27.246)
2014-01-29,2014.0,1,TEXAS,1,Mixed or unknown,44.6,US-Mexico border crossing,POINT (-98.1143 27.0776)
2014-01-29,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.6416 32.4653)
2014-02-01,2014.0,2,TEXAS,1,Mixed or unknown,46.4,US-Mexico border crossing,POINT (-104.1565 30.1836)
